                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2239,                 1.5598,                0.96997,                 1.0167,                0.64033,                0.74359,                0.71342,                0.44563,                 0.6297,                0.71859,                0.68581,                0.36567,                 1.2128,                 1.5876,                0.95511,                 1.0598,             0.00099001,             0.00099001,             0.00099001
                     25,                 1.2161,                 1.5327,                0.96378,                 1.0119,                0.63023,                0.73106,                0.71013,                0.44107,                0.62206,                0.72173,                 0.6956,                0.36996,                 1.2241,                 1.6046,                 0.9537,                 1.0657,             0.00098451,             0.00098451,             0.00098451
                     26,                 1.2126,                 1.5557,                0.96816,                 1.0113,                0.58979,                0.71588,                0.67095,                 0.4109,                0.58051,                0.70097,                0.65209,                0.34488,                 1.2543,                 1.6447,                 1.0332,                 1.0738,             0.00097901,             0.00097901,             0.00097901
                     27,                 1.2191,                 1.5487,                 0.9704,                 1.0159,                0.64173,                0.73071,                0.70524,                0.44065,                0.63139,                0.72464,                0.68689,                0.36303,                 1.2084,                 1.5996,                0.95444,                 1.0666,             0.00097351,             0.00097351,             0.00097351
                     28,                 1.2165,                 1.5378,                0.96647,                 1.0138,                0.61361,                0.76229,                0.70689,                0.44004,                0.60054,                0.74776,                0.68188,                0.35878,                 1.2117,                 1.5896,                0.94885,                 1.0645,             0.00096801,             0.00096801,             0.00096801
                     29,                 1.2035,                 1.5132,                0.92633,                 1.0091,                0.62868,                0.74204,                0.70236,                0.43093,                0.61962,                0.72703,                0.67758,                0.35315,                 1.2271,                 1.6116,                0.95659,                 1.0749,             0.00096251,             0.00096251,             0.00096251
                     30,                 1.2084,                 1.5333,                0.94272,                 1.0121,                0.63613,                0.72208,                0.70592,                0.43732,                0.62368,                0.70106,                0.67611,                0.35057,                 1.2103,                 1.6191,                0.96553,                 1.0644,             0.00095702,             0.00095702,             0.00095702
                     31,                  1.197,                 1.5087,                0.92276,                 1.0053,                0.64859,                0.70669,                0.70034,                0.44077,                0.63716,                0.69543,                0.68432,                0.37282,                 1.2175,                 1.5805,                0.95599,                 1.0614,             0.00095152,             0.00095152,             0.00095152
                     32,                  1.198,                 1.5122,                0.93183,                 1.0057,                0.64406,                0.72266,                0.70817,                0.43913,                0.63466,                0.71207,                0.69028,                 0.3713,                 1.2253,                 1.6008,                0.95564,                 1.0702,             0.00094602,             0.00094602,             0.00094602
                     33,                  1.199,                 1.5169,                0.93826,                 1.0139,                0.60906,                0.73924,                0.70901,                0.43925,                0.59358,                0.72068,                0.68269,                0.36788,                  1.236,                 1.6212,                0.98249,                 1.0752,             0.00094052,             0.00094052,             0.00094052
                     34,                 1.2001,                 1.5174,                0.92354,                 1.0135,                0.63052,                0.75449,                0.71716,                 0.4456,                0.62505,                0.74358,                0.70093,                0.37444,                 1.2274,                 1.6157,                0.94854,                 1.0745,             0.00093502,             0.00093502,             0.00093502
                     35,                 1.1959,                 1.5112,                0.91714,                 1.0046,                0.63457,                0.72411,                0.70803,                0.44449,                0.63329,                0.69631,                 0.6899,                0.36128,                 1.2212,                 1.5952,                0.97285,                 1.0667,             0.00092952,             0.00092952,             0.00092952
                     36,                 1.1802,                 1.4866,                0.91744,                  1.004,                0.64666,                0.73672,                0.71481,                0.44314,                0.64162,                 0.7154,                0.69559,                0.36527,                 1.2129,                 1.5957,                0.93657,                 1.0602,             0.00092402,             0.00092402,             0.00092402
                     37,                 1.1809,                 1.4793,                0.90787,                 0.9993,                0.63801,                0.73799,                0.71122,                0.44214,                0.64029,                0.71939,                  0.694,                0.37167,                 1.2268,                 1.5995,                0.94437,                 1.0749,             0.00091852,             0.00091852,             0.00091852
                     38,                 1.2002,                 1.5164,                0.92955,                 1.0109,                0.65488,                0.72689,                0.71465,                0.44319,                0.63729,                0.70784,                 0.6817,                0.35713,                 1.2147,                 1.6097,                0.94433,                 1.0672,             0.00091302,             0.00091302,             0.00091302
                     39,                 1.1823,                 1.4792,                0.90403,                  1.001,                0.62287,                0.74999,                0.70545,                0.44466,                 0.6157,                0.74012,                0.69139,                0.37362,                 1.2136,                 1.5992,                0.95432,                 1.0715,             0.00090752,             0.00090752,             0.00090752
                     40,                 1.1743,                 1.4673,                0.88438,                 1.0031,                0.64322,                0.72795,                0.71183,                0.44487,                0.63465,                0.71993,                0.69375,                 0.3698,                 1.2358,                 1.6431,                0.93286,                 1.0668,             0.00090202,             0.00090202,             0.00090202
                     41,                 1.1762,                 1.4791,                0.91447,                0.99636,                0.60662,                0.72874,                0.70325,                0.43714,                0.60841,                0.70709,                0.68514,                0.37126,                 1.2523,                 1.6625,                0.97285,                 1.0815,             0.00089652,             0.00089652,             0.00089652
                     42,                 1.1828,                 1.4644,                0.89885,                0.99663,                0.63987,                0.73663,                0.71615,                0.44517,                0.63745,                0.71558,                0.69405,                0.36275,                 1.2183,                 1.6053,                0.93304,                 1.0695,             0.00089102,             0.00089102,             0.00089102
                     43,                 1.1737,                 1.4809,                0.90486,                0.99934,                0.65667,                0.71715,                0.72335,                0.44562,                0.64211,                 0.7019,                0.69716,                0.37031,                 1.2251,                 1.5969,                0.92346,                 1.0685,             0.00088552,             0.00088552,             0.00088552
                     44,                 1.1762,                 1.4705,                0.88462,                 1.0023,                0.61974,                0.74739,                0.71274,                0.43941,                0.61241,                0.73321,                0.69353,                0.37022,                 1.2341,                  1.646,                0.94135,                 1.0778,             0.00088002,             0.00088002,             0.00088002
                     45,                 1.1721,                 1.4551,                0.87173,                0.99891,                0.64906,                 0.7253,                0.71642,                0.43917,                0.64812,                0.68766,                0.68575,                0.36901,                 1.2333,                 1.5813,                0.93492,                 1.0731,             0.00087452,             0.00087452,             0.00087452
                     46,                 1.1552,                 1.4336,                0.86904,                0.98967,                0.62081,                0.75068,                0.71477,                0.44414,                0.64268,                0.70353,                0.69539,                0.36966,                  1.231,                 1.6177,                0.93398,                 1.0738,             0.00086902,             0.00086902,             0.00086902
                     47,                 1.1654,                 1.4503,                0.88526,                0.99478,                0.63459,                0.72423,                0.71034,                0.44142,                0.63531,                0.71664,                0.69925,                0.37814,                 1.2404,                 1.6308,                0.94935,                  1.068,             0.00086352,             0.00086352,             0.00086352
                     48,                 1.1561,                 1.4438,                0.86431,                0.99403,                0.61374,                 0.7163,                0.70022,                0.43448,                0.60435,                0.70456,                0.67967,                0.36265,                 1.2241,                 1.6179,                0.96999,                 1.0761,             0.00085803,             0.00085803,             0.00085803
                     49,                 1.1554,                 1.4346,                0.86084,                0.99601,                0.65369,                0.74056,                0.71437,                0.44469,                0.64314,                 0.7288,                0.69496,                0.37956,                 1.2341,                 1.6312,                0.93127,                 1.0747,             0.00085253,             0.00085253,             0.00085253
